action_id,session_id,action_type,action_ts
1,1,view,02/08/2025 16:00
2,2,view,02/08/2025 17:00
3,3,view,17/07/2025 04:00
4,4,view,08/08/2025 09:00
5,4,add_to_cart,08/08/2025 09:00
6,4,purchase,08/08/2025 09:00
7,5,view,08/08/2025 10:00
8,6,view,08/08/2025 11:00
9,7,view,15/08/2025 03:00
10,7,add_to_cart,15/08/2025 03:00
11,8,view,08/07/2025 13:00
12,9,view,08/07/2025 14:00
13,10,view,08/07/2025 15:00
14,11,view,25/07/2025 17:00
15,11,click_banner,25/07/2025 17:00
16,12,view,01/08/2025 08:00
17,12,add_to_cart,01/08/2025 08:00
18,12,purchase,01/08/2025 08:00
19,13,view,01/08/2025 09:00
20,14,view,10/07/2025 03:00
21,14,add_to_cart,10/07/2025 03:00
22,14,purchase,10/07/2025 03:00
23,15,view,16/08/2025 05:00
24,16,view,16/08/2025 06:00
25,17,view,16/08/2025 07:00
26,18,view,01/08/2025 19:00
27,19,view,01/08/2025 20:00
28,20,view,01/08/2025 21:00
29,21,view,25/08/2025 06:00
30,22,view,07/07/2025 18:00
31,23,view,12/08/2025 07:00
32,24,view,12/08/2025 08:00
33,25,view,06/08/2025 04:00
34,25,add_to_cart,06/08/2025 04:00
35,26,view,06/08/2025 05:00
36,27,view,06/08/2025 06:00
37,28,view,13/08/2025 17:00
38,29,view,19/07/2025 11:00
39,30,view,21/07/2025 00:00
40,30,click_banner,21/07/2025 00:00
41,31,view,21/07/2025 01:00
42,32,view,08/07/2025 23:00
43,33,view,29/07/2025 03:00
44,33,add_to_cart,29/07/2025 03:00
45,33,purchase,29/07/2025 03:00
46,34,view,03/07/2025 08:00
47,35,view,30/08/2025 09:00
48,36,view,30/08/2025 10:00
49,37,view,31/08/2025 11:00
50,37,add_to_cart,31/08/2025 11:00
51,37,purchase,31/08/2025 11:00
52,38,view,31/08/2025 12:00
53,39,view,31/08/2025 13:00
54,40,view,17/08/2025 18:00
55,41,view,17/08/2025 19:00
56,42,view,02/07/2025 00:00
57,43,view,27/08/2025 22:00
58,44,view,27/08/2025 23:00
59,45,view,09/07/2025 15:00
60,46,view,09/07/2025 16:00
61,47,view,27/08/2025 22:00
62,48,view,19/07/2025 19:00
63,48,add_to_cart,19/07/2025 19:00
64,49,view,10/08/2025 22:00
65,50,view,10/07/2025 14:00
66,51,view,10/07/2025 15:00
67,52,view,10/07/2025 16:00
68,53,view,02/07/2025 08:00
69,54,view,02/07/2025 09:00
70,55,view,02/07/2025 10:00
71,55,click_banner,02/07/2025 10:00
72,55,add_to_cart,02/07/2025 10:00
73,56,view,01/07/2025 10:00
74,57,view,20/08/2025 15:00
75,58,view,20/07/2025 10:00
76,59,view,20/07/2025 11:00
77,59,add_to_cart,20/07/2025 11:00
78,60,view,23/07/2025 17:00
79,61,view,17/07/2025 02:00
80,62,view,17/07/2025 03:00
81,63,view,17/07/2025 04:00
82,64,view,01/08/2025 19:00
83,65,view,01/08/2025 20:00
84,65,add_to_cart,01/08/2025 20:00
85,65,purchase,01/08/2025 20:00
86,66,view,01/08/2025 21:00
87,67,view,30/07/2025 04:00
88,68,view,03/07/2025 22:00
89,68,click_banner,03/07/2025 22:00
90,68,add_to_cart,03/07/2025 22:00
91,68,purchase,03/07/2025 22:00
92,69,view,17/08/2025 03:00
93,70,view,05/07/2025 03:00
94,71,view,05/07/2025 04:00
95,72,view,24/07/2025 19:00
96,73,view,24/07/2025 20:00
97,74,view,24/07/2025 21:00
98,74,click_banner,24/07/2025 21:00
99,74,add_to_cart,24/07/2025 21:00
100,74,purchase,24/07/2025 21:00
101,75,view,10/07/2025 19:00
102,76,view,10/07/2025 20:00
103,77,view,01/07/2025 17:00
104,78,view,18/07/2025 23:00
105,78,add_to_cart,18/07/2025 23:00
106,79,view,30/07/2025 06:00
107,80,view,16/07/2025 19:00
108,81,view,25/07/2025 08:00
109,81,add_to_cart,25/07/2025 08:00
110,81,purchase,25/07/2025 08:00
